city,lat,lon,max temp,humidity,cloudiness,wind_speed,country,date
bonavista,43.91,67.25,74.68,42,10,7.11,KZ,1596329773
avera,42.78,-9.06,64,78,3,5.01,ES,1596329774
tomatlan,71.97,102.5,63.28,85,100,5.41,RU,1596329773
boyolangu,68.75,161.3,48.22,65,97,9.55,RU,1596329774
vasilyevo,-35.33,-72.42,54.57,93,100,9.44,CL,1596329774
dukat,26.33,43.98,93.2,26,0,13.87,SA,1596329775
los llanos de aridane,0.52,25.2,72.28,93,72,1.59,CD,1596329775
manzhouli,53.14,0.34,64,67,13,6.93,GB,1596329775
taybad,-23.86,35.38,62.49,77,22,6.51,MZ,1596329775
bouake,57.79,108.11,69.64,51,0,13.96,RU,1596329775
yumen,-38.38,142.48,55,89,100,3,AU,1596329776
qinhuangdao,-9.6,-35.96,71.6,94,75,12.75,BR,1596329628
raga,-5.58,-44.39,79.02,51,3,8.77,BR,1596329776
villa carlos paz,59.36,5.22,62.01,93,100,5.82,NO,1596329776
rio grande,-34.05,23.37,64.8,30,0,6.33,ZA,1596329777
cardston,-6.25,38.67,65.5,76,21,4.43,TZ,1596329777
aklavik,-34.48,-54.33,50.29,85,100,8.41,UY,1596329777
marsh harbour,46.38,-82.63,77,65,1,3.36,CA,1596329777
aku,14.2,24.67,67.46,87,100,6.98,SD,1596329777
isangel,20.15,92.9,82.69,81,100,4.03,MM,1596329778
prainha,-46.13,167.68,54.03,86,100,5.7,NZ,1596329778
fare,40.8,-124.16,66.99,37,35,1.99,US,1596329778
sao felix do xingu,17.02,76.77,76.95,86,91,7.7,IN,1596329778
saskylakh,45.75,-87.06,75.99,69,1,5.82,US,1596329779
thinadhoo,53.75,127.27,69.4,58,95,3.29,RU,1596329779
chingirlau,45.32,55.2,78.12,25,1,11.43,KZ,1596329779
ponta delgada,48.68,71.64,68.45,49,19,11.72,KZ,1596329779
biri,19.91,109.69,84.78,75,94,10.27,CN,1596329779
imeni zhelyabova,20.2,1.01,93.09,34,0,12.77,ML,1596329780
jhelum,48.58,-4,60.01,87,90,5.82,FR,1596329780
mogadishu,23.88,87.37,87.06,71,93,1.54,IN,1596329780
zhanakorgan,46.08,32.53,68.16,65,0,10.07,UA,1596329781
muros,-22.47,-68.93,55.4,3,0,6.93,CL,1596329515
khatanga,64.84,-147.72,78.8,36,20,2.28,US,1596329639
cherskiy,9.33,-69.12,74.71,94,100,3.4,VE,1596329781
constitucion,37.09,15.28,78.01,78,0,2.24,IT,1596329782
buraydah,-7.61,-72.9,75.27,63,35,1.61,BR,1596329782
kisangani,64.57,143.2,69.78,28,88,2.8,RU,1596329782
skegness,26.96,56.27,89.6,75,20,6.93,IR,1596329783
inhambane,-8.9,-35.15,74.07,86,50,10.78,BR,1596329525
kirensk,33.34,44.4,84.2,35,0,2.24,IQ,1596329503
warrnambool,20.89,-156.47,87.8,48,20,25.28,US,1596329783
pilar,47.87,88.12,69.57,34,0,1.83,CN,1596329784
sao domingos do maranhao,65.58,-171,46.09,65,100,14.67,RU,1596329784
visnes,-38.27,141.97,55.11,75,100,9.06,AU,1596329784
plettenberg bay,14.35,121.02,80.6,78,100,6.93,PH,1596329784
mvomero,6.52,124.58,82.72,70,94,3.15,PH,1596329784
rocha,-21.35,165.15,71.11,56,0,10.4,NC,1596329785
elliot lake,-1.2,-46.02,76.24,85,48,5.66,BR,1596329785
kutum,-8.14,159.59,84.7,68,58,1.5,SB,1596329785
akyab,20.34,-77.12,81.09,82,100,6.67,CU,1596329785
tuatapere,3.88,-77.03,77.95,92,79,2.44,CO,1596329786
eureka,29.94,-89.96,89.6,62,90,11.41,US,1596329786
jevargi,-7.94,110.25,77.61,75,54,8.79,ID,1596329786
escanaba,26.8,82.2,82.87,79,0,3.24,IN,1596329787
zeya,30.36,50.8,87.8,38,20,3.83,IR,1596329787
